City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
35,Qaqortoq,GL,19.62,overcast clouds,60.7167,-46.0333,Hotel Qaqortoq
72,Fairbanks,US,10.99,scattered clouds,64.8378,-147.7164,Westmark Fairbanks Hotel & Conference Center
107,Narsaq,GL,18.25,overcast clouds,60.9167,-46.05,Hotel Narsaq
124,Ilulissat,GL,19.4,overcast clouds,69.2167,-51.1,Hotel Arctic
163,Novosergiyevka,RU,18.73,overcast clouds,52.0934,53.6528,Gostinichnyy Kompleks Edem
186,College,US,10.99,scattered clouds,64.8569,-147.8028,Pike's Waterfront Lodge
221,Sennoy,RU,16.84,overcast clouds,52.1509,46.9631,Guesthouse Sennoi na Zelenoi
229,Sisimiut,GL,10.6,overcast clouds,66.9395,-53.6735,Hotel Sisimiut
235,Fort Nelson,CA,12.2,broken clouds,58.8053,-122.7002,The Fort Nelson Hotel
289,Upernavik,GL,18.48,light snow,72.7868,-56.1549,Gina's Guesthouse - Upernavik
306,Oktyabr'skiy,RU,12.81,light snow,54.4815,53.471000000000004,Уязы-Тау гостиница
316,Korla,CN,17.08,clear sky,41.7597,86.1469,Gulisitan Hotel
357,Alekseyevka,RU,14.09,scattered clouds,50.6309,38.6903,Apartment on Ploshchad Pobedy
380,Motala,SE,15.8,clear sky,58.5371,15.0365,Wärdshuset Berggrens Källare
445,Nome,US,17.6,overcast clouds,64.5011,-165.4064,Dredge 7 Inn
469,Dobre Miasto,PL,17.6,clear sky,53.9867,20.3975,Hotel Kopczyński Restauracja Wiktoria
547,Staicele,LV,12.99,overcast clouds,57.8364,24.75,Atpūtas vieta Stārķu Miga
566,Melhus,NO,18.0,scattered clouds,63.2855,10.2781,Karivollen overnatting
574,Kiruna,SE,14.0,broken clouds,67.8557,20.2251,Camp Ripan
585,Erdaojiang,CN,18.32,snow,41.7764,126.0319,Tonggang Hotel
590,Cherdyn',RU,12.16,snow,60.403,56.4787,Severnyy Ural
621,Kantemirovka,RU,13.42,overcast clouds,49.7089,39.8592,Premier Hotel
630,Minsk,BY,10.4,light snow,53.9,27.5667,Minsk Hotel
681,Kumul,CN,12.92,clear sky,42.8,93.45,Laoyutang Resort
707,Zapolyarnyy,RU,10.4,overcast clouds,69.4154,30.8136,Pechenga
